surface,chambres,sdb,etage,location,prix
190 m²,3 chambres,3 sdbs,Étage 3,"Agdal, Fès",Not Specified
70 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Fès",380 000
108 m²,3 chambres,2 sdbs,Étage 2,"Route d'Immouzere, Fès",685 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,630 000
140 m²,3 chambres,2 sdbs,Not Specified,"Route d'Immouzere, Fès",800 000
160 m²,4 chambres,1 sdb,Rez de chaussée,"Route Ain Chkaf, Fès",600 000
146 m²,3 chambres,2 sdbs,Étage 4,"Narjis, Fès",500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 660 000
143 m²,3 chambres,2 sdbs,Rez de chaussée,"Champ de course, Fès",1 300 000
125 m²,3 chambres,2 sdbs,Étage 2,"Route d'Immouzere, Fès",Not Specified
70 m²,2 chambres,1 sdb,Étage 2,"Narjis, Fès",43 000 000
Not Specified,3 chambres,2 sdbs,Étage 2,"Champ de course, Fès",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 767 000
176 m²,3 chambres,3 sdbs,Étage 7,"Champ de course, Fès",1 680 000
75 m²,2 chambres,1 sdb,Étage 4,"Ben Souda, Fès",280 000
68 m²,2 chambres,1 sdb,Étage 4,"Ben Souda, Fès",240 000
92 m²,2 chambres,1 sdb,Étage 3,"Route de Sefrou, Fès",520 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,395 904
Not Specified,3 chambres,Not Specified,Not Specified,"Oued Fès, Fès",Not Specified
Not Specified,4 chambres,3 sdbs,Étage 1,"Route Ain Chkaf, Fès",1 260 000
126 m²,2 chambres,1 sdb,Étage 4,"Hay Saada, Fès",750 000
126 m²,3 chambres,3 sdbs,Étage 3,"Agdal, Fès",750 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 710 000
114 m²,3 chambres,2 sdbs,Étage 3,"Oued Fès, Fès",730 000
96 m²,2 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",380 000
76 m²,3 chambres,1 sdb,Étage 3,"Ben Souda, Fès",310 000
115 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Fès",770 000
Not Specified,3 chambres,1 sdb,Étage 1,"Oued Fès, Fès",495 000
92 m²,2 chambres,1 sdb,Étage 3,"Route d'Immouzere, Fès",520 000
88 m²,2 chambres,2 sdbs,Étage 2,"Agdal, Fès",600 000
266 m²,4 chambres,3 sdbs,Étage 4,"Hay Atlas, Fès",1 300 000
125 m²,3 chambres,3 sdbs,Étage 1,"Oued Fès, Fès",720 000
Not Specified,2 chambres,1 sdb,Étage 1,"Agdal, Fès",Not Specified
95 m²,3 chambres,2 sdbs,Étage 1,"Oued Fès, Fès",490 000
121 m²,2 chambres,1 sdb,Étage 2,"Route d'Immouzere, Fès",Not Specified
99 m²,2 chambres,1 sdb,Étage 2,"Centre, Fès",550 000
80 m²,2 chambres,2 sdbs,Étage 3,"Ben Souda, Fès",320 000
Not Specified,2 chambres,1 sdb,Étage 1,"Route Ain Chkaf, Fès",480 000
130 m²,3 chambres,3 sdbs,Étage 4,"Agdal, Fès",9 500
237 m²,4 chambres,3 sdbs,Étage 4,"Champ de course, Fès",2 500 000
Not Specified,4 chambres,2 sdbs,Étage 2,"Route d'Immouzere, Fès",1 580 000
71 m²,2 chambres,2 sdbs,Étage 3,"Narjis, Fès",45 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Fès,3 000
