surface,chambres,sdb,etage,location,prix
175 m²,4 chambres,3 sdbs,Étage 3,"Agdal, Rabat",3 600 000
70 m²,1 chambre,1 sdb,Étage 3,"Hassan, Rabat",1 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,680 000
86 m²,2 chambres,1 sdb,Étage 4,"Hay Nahda, Rabat",650 000
Not Specified,2 chambres,1 sdb,Étage 2,"Hay el Fath, Rabat",880 000
110 m²,3 chambres,2 sdbs,Étage 1,"Yacoub El Mansour, Rabat",2 170 000
Not Specified,4 chambres,2 sdbs,Étage 2,"Yacoub El Mansour, Rabat",1 160 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,540 000
165 m²,3 chambres,2 sdbs,Étage 1,"Hay Riad, Rabat",4 800 000
190 m²,3 chambres,2 sdbs,Rez de chaussée,"Agdal, Rabat",2 900 000
89 m²,2 chambres,1 sdb,Étage 3,"Agdal, Rabat",1 750 000
121 m²,2 chambres,2 sdbs,Étage 3,"Hassan, Rabat",2 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,721 600
89 m²,2 chambres,1 sdb,Étage 4,"Agdal, Rabat",1 360 000
274 m²,4 chambres,3 sdbs,Étage 1,"Agdal, Rabat",3 900 000
95 m²,2 chambres,1 sdb,Étage 2,"Agdal, Rabat",2 120 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,477 000
122 m²,3 chambres,3 sdbs,Étage 3,"Rabat, Hay Riad",3 700 000
156 m²,3 chambres,2 sdbs,Étage 4,"Rabat, Souissi",6 600 000
Not Specified,4 chambres,4 sdbs,Étage 1,"Rabat, Hay Riad",8 000 000
101 m²,2 chambres,2 sdbs,Étage 3,"Autre secteur, Rabat",Not Specified
39 m²,1 chambre,1 sdb,Étage 3,"Agdal, Rabat",1 200 000
Not Specified,2 chambres,1 sdb,Étage 4,"Mabella, Rabat",850 000
105 m²,2 chambres,1 sdb,Étage 4,"Agdal, Rabat",2 250 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 225 000
Not Specified,3 chambres,2 sdbs,Étage 5,"Autre secteur, Rabat",3 500 000
88 m²,3 chambres,2 sdbs,Étage 4,"Quartier de l'Océan, Rabat",800 000
62 m²,2 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Rabat",600 000
85 m²,3 chambres,1 sdb,Étage 1,"Médina de Rabat, Rabat",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 190 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Rabat",2 100 000
Not Specified,2 chambres,3 sdbs,Étage 1,"Yacoub El Mansour, Rabat",4 600 000
180 m²,3 chambres,2 sdbs,Étage 1,"Kébibat, Rabat",2 300 000
105 m²,4 chambres,1 sdb,Étage 2,"Kébibat, Rabat",150
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 180 000
Not Specified,2 chambres,1 sdb,Étage 5,"Hassan, Rabat",2 100 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Yacoub El Mansour, Rabat",1 450 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Quartier de l'Océan, Rabat",2 000 000
50 m²,1 chambre,2 sdbs,Not Specified,"Hay el Fath, Rabat",800 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,900 000
94 m²,2 chambres,1 sdb,Étage 3,"Hay el Fath, Rabat",867 000
173 m²,3 chambres,2 sdbs,Étage 3,"Agdal, Rabat",3 500 000
108 m²,2 chambres,1 sdb,Étage 1,"Yacoub El Mansour, Rabat",130
158 m²,4 chambres,2 sdbs,Étage 3,"Hay Riad, Rabat",3 350 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,330 000
266 m²,3 chambres,2 sdbs,Étage 4,"Agdal, Rabat",4 500 000
120 m²,2 chambres,2 sdbs,Étage 1,"Hassan, Rabat",2 300 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Autre secteur, Rabat",1 450 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Hay Riad, Rabat",4 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,680 000
120 m²,3 chambres,2 sdbs,Étage 3,"Hay Nahda, Rabat",Not Specified
150 m²,3 chambres,2 sdbs,Étage 1,"Agdal, Rabat",3 400 000
174 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Riad, Rabat",3 650 000
123 m²,4 chambres,2 sdbs,Étage 1,"Guich Oudaya, Rabat",18 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 800 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Agdal, Rabat",3 400 000
Not Specified,3 chambres,3 sdbs,Étage 1,"Hay Riad, Rabat",4 100 000
118 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Rabat",1 000 000
154 m²,2 chambres,2 sdbs,Rez de chaussée,"Quartier de l'Océan, Rabat",1 950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9 900
151 m²,2 chambres,2 sdbs,Rez de chaussée,"Quartier de l'Océan, Rabat",1 900 000
Not Specified,1 chambre,2 sdbs,Rez de chaussée,"Guich Oudaya, Rabat",950 000
101 m²,3 chambres,2 sdbs,Étage 2,"Agdal, Rabat",1 650 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,721 600
171 m²,3 chambres,2 sdbs,Étage 4,"Rabat, Hay Riad",5 500 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Rabat, Agdal",3 200 000
107 m²,4 chambres,2 sdbs,Étage 2,"Rabat, Hay Riad",1 150 000
170 m²,3 chambres,3 sdbs,Étage 2,"Hay Riad, Rabat",Not Specified
122 m²,3 chambres,2 sdbs,Étage 3,"Riyad, Rabat",3 850 000
