surface,chambres,sdb,etage,location,prix
70 m²,2 chambres,1 sdb,Rez de chaussée,"Harhoura, Temara",Not Specified
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Wifak, Temara",660 000
91 m²,2 chambres,2 sdbs,Étage 1,"Autre secteur, Temara",920 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 120 000
90 m²,3 chambres,1 sdb,Étage 1,"Maghreb Arabi, Temara",800 000
50 m²,2 chambres,2 sdbs,Étage 2,"Autre secteur, Temara",Not Specified
92 m²,2 chambres,2 sdbs,Étage 1,"Harhoura, Temara",1 450 000
77 m²,2 chambres,2 sdbs,Étage 1,"Harhoura, Temara",1 190 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 460 000
65 m²,2 chambres,2 sdbs,Étage 4,"Massira 2, Temara",520 000
166 m²,3 chambres,3 sdbs,Étage 2,"Harhoura, Temara",2 820 000
60 m²,2 chambres,2 sdbs,Étage 1,"Wifak, Temara",750 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,781 000
129 m²,3 chambres,2 sdbs,Étage 4,"Temara, Al Moustakbal",1 320 000
69 m²,2 chambres,0 sdb,Rez de chaussée,"Temara, Riad Oulad Mtaa",Not Specified
66 m²,2 chambres,2 sdbs,Étage 4,"Massira 2, Temara",520 000
Not Specified,2 chambres,2 sdbs,Étage 1,"Wifak, Temara",900 000
85 m²,2 chambres,1 sdb,Rez de chaussée,"Massira 1, Temara",Not Specified
Not Specified,2 chambres,1 sdb,Étage 1,"Wifak, Temara",660 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
185 m²,3 chambres,3 sdbs,Étage 2,"Harhoura, Temara",2 700 000
87 m²,3 chambres,2 sdbs,Étage 2,"Riad Oulad Mtaa, Temara",1 480 000
93 m²,2 chambres,2 sdbs,Étage 2,"Ain Atig, Temara",880 000
80 m²,2 chambres,1 sdb,Étage 3,"Wifak, Temara",1 250 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,825 000
70 m²,2 chambres,0 sdb,Étage 1,"Wifak, Temara",840 000
