surface,chambres,sdb,etage,location,prix
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
214 m²,2 chambres,2 sdbs,Étage 1,"Iberie, Tanger",2 750 000
100 m²,2 chambres,2 sdbs,Étage 1,"Autre secteur, Tanger",1 400 000
82 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Tanger",600 000
76 m²,2 chambres,2 sdbs,Étage 3,"Marjane, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 000 000
61 m²,2 chambres,1 sdb,Étage 4,"Autre secteur, Tanger",630 000
100 m²,2 chambres,2 sdbs,Étage 1,"Moujahidine, Tanger",16 500
84 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Tanger",12 500
Not Specified,2 chambres,1 sdb,Étage 2,"Centre ville, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 400 000
56 m²,2 chambres,1 sdb,Étage 5,"Du Golf, Tanger",610 000
52 m²,2 chambres,1 sdb,Étage 7,"Aharrarine, Tanger",420 000
Not Specified,2 chambres,1 sdb,Étage 2,"Aouama Gharbia, Tanger",380 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,685 000
150 m²,3 chambres,3 sdbs,Étage 1,"Tanger, Centre ville",2 800 000
76 m²,2 chambres,1 sdb,Étage 5,"Tanger, Aharrarine",12 500
189 m²,3 chambres,2 sdbs,Étage 7,"Tanger, Centre ville",2 700 000
100 m²,3 chambres,2 sdbs,Étage 4,"Centre, Tanger",Not Specified
105 m²,3 chambres,2 sdbs,Étage 3,"Mesnana, Tanger",Not Specified
134 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Tanger",Not Specified
72 m²,2 chambres,1 sdb,Étage 3,"Val Fleuri, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,730 000
112 m²,3 chambres,2 sdbs,Étage 7,"Centre ville, Tanger",Not Specified
138 m²,2 chambres,2 sdbs,Étage 7,"Marjane, Tanger",1 300 000
Not Specified,2 chambres,Not Specified,Étage 6,"Autre secteur, Tanger",460 000
96 m²,2 chambres,2 sdbs,Étage 2,"Sania, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
366 m²,3 chambres,2 sdbs,Étage 6,"Sania, Tanger",8 000 000
142 m²,3 chambres,2 sdbs,Étage 2,"Sania, Tanger",Not Specified
Not Specified,3 chambres,1 sdb,Étage 5,"Autre secteur, Tanger",680 000
Not Specified,3 chambres,3 sdbs,Étage 9,"De La Plage, Tanger",25 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 000 000
278 m²,2 chambres,2 sdbs,Étage 4,"Aviation, Tanger",Not Specified
Not Specified,3 chambres,Not Specified,Rez de chaussée,"Centre ville, Tanger",12 000
134 m²,3 chambres,2 sdbs,Étage 2,"De La Plage, Tanger",2 546 000
100 m²,2 chambres,1 sdb,Étage 1,"Achennad, Tanger",1 170 000
