surface,chambres,sdb,etage,location,prix
110 m²,2 chambres,1 sdb,Étage 1,"Marjane 2, Meknès",720 000
76 m²,2 chambres,2 sdbs,Étage 5,"Hamria, Meknès",610 000
75 m²,2 chambres,1 sdb,Étage 1,"Wislane, Meknès",300 000
65 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Meknès",360 000
106 m²,3 chambres,2 sdbs,Étage 1,"Meknès, Marjane 2",805 000
60 m²,2 chambres,1 sdb,Rez de chaussée,"Meknès, Autre secteur",350 000
Not Specified,3 chambres,1 sdb,Étage 1,"Meknès, Autre secteur",390 000
154 m²,3 chambres,2 sdbs,Étage 6,"Hamria, Meknès",Not Specified
Not Specified,2 chambres,1 sdb,Étage 1,"Wislane, Meknès",155 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Hamria, Meknès",1 040 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Marjane 2, Meknès",760 000
Not Specified,4 chambres,3 sdbs,Rez de chaussée,"Hamria, Meknès",1 640 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Hamria, Meknès",830 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Hamria, Meknès",850 000
106 m²,3 chambres,2 sdbs,Étage 5,"Ville Nouvelle, Meknès",52 000
100 m²,2 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",Not Specified
Not Specified,4 chambres,1 sdb,Étage 2,"Wislane, Meknès",290 000
100 m²,3 chambres,2 sdbs,Rez de chaussée,"Hamria, Meknès",620 000
100 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",590 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Hamria, Meknès",350 000
78 m²,3 chambres,1 sdb,Étage 1,"Ville Nouvelle, Meknès",480 000
64 m²,2 chambres,2 sdbs,Étage 3,"Marjane 2, Meknès",230 000
Not Specified,2 chambres,1 sdb,Étage 2,"Wislane, Meknès",Not Specified
65 m²,2 chambres,1 sdb,Étage 2,"El Bassatine, Meknès",190 000
154 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",840 000
140 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",1 040 000
Not Specified,4 chambres,Not Specified,Rez de chaussée,"Sbata, Meknès",Not Specified
140 m²,3 chambres,2 sdbs,Étage 2,"Hay Salam, Meknès",Not Specified
10858 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Meknès",580 000
110 m²,3 chambres,1 sdb,Étage 4,"Autre secteur, Meknès",500 000
120 m²,3 chambres,2 sdbs,Étage 1,"Hamria, Meknès",750 000
120 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",660 000
143 m²,3 chambres,1 sdb,Étage 5,"Hamria, Meknès",1 100 000
180 m²,3 chambres,2 sdbs,Étage 6,Meknès,Not Specified
70 m²,3 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",500 000
Not Specified,2 chambres,2 sdbs,Étage 2,"El Bassatine, Meknès",Not Specified
70 m²,3 chambres,1 sdb,Étage 4,"Hamria, Meknès",260 000
Not Specified,2 chambres,1 sdb,Étage 4,"Autre secteur, Meknès",300 000
