surface,chambres,sdb,etage,location,prix
50 m²,2 chambres,1 sdb,Étage 1,"Oulfa, Casablanca",360 000
Not Specified,1 chambre,1 sdb,Étage 5,"Anfa, Casablanca",950 000
68 m²,2 chambres,1 sdb,Étage 1,"Aïn Borja, Casablanca",680 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 020 000
153 m²,3 chambres,3 sdbs,Étage 3,"Ferme Bretone, Casablanca",2 950 000
220 m²,4 chambres,3 sdbs,Étage 4,"Bourgogne, Casablanca",Not Specified
126 m²,2 chambres,2 sdbs,Rez de chaussée,"Sidi Moumen, Casablanca",690 000
Not Specified,1 chambre,2 sdbs,Rez de chaussée,"Palmier, Casablanca",1 280 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,975 000
Not Specified,2 chambres,2 sdbs,Étage 2,"Oulfa, Casablanca",400 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Oulfa, Casablanca",260 000
Not Specified,1 chambre,1 sdb,Étage 3,"Les Princesses, Casablanca",1 520 000
74 m²,2 chambres,0 sdb,Étage 3,"Hay Moulay Rachid, Casablanca",440 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 090 000
100 m²,2 chambres,1 sdb,Étage 3,"Les Princesses, Casablanca",1 500 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Maarif, Casablanca",1 760 000
Not Specified,1 chambre,1 sdb,Rez de chaussée,"Aïn Diab, Casablanca",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,830 000
99 m²,3 chambres,1 sdb,Étage 1,"Casablanca, Aïn Chock",900 000
Not Specified,1 chambre,2 sdbs,Étage 2,"Casablanca, Bachkou",915 000
Not Specified,1 chambre,1 sdb,Étage 1,"Casablanca, Hermitage",850 000
56 m²,1 chambre,1 sdb,Rez de chaussée,"Sidi Maarouf, Casablanca",Not Specified
71 m²,2 chambres,2 sdbs,Étage 4,"Ain Sebaa, Casablanca",10 600
132 m²,3 chambres,3 sdbs,Étage 2,"Racine, Casablanca",2 450 000
56 m²,1 chambre,1 sdb,Étage 5,"Oasis, Casablanca",1 100 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 725 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Sidi Belyout, Casablanca",1 480 000
136 m²,3 chambres,2 sdbs,Étage 3,"Bachkou, Casablanca",1 950 000
135 m²,4 chambres,2 sdbs,Étage 1,"Bourgogne, Casablanca",1 936 000
Not Specified,2 chambres,1 sdb,Étage 1,"Aïn Chock, Casablanca",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,825 000
116 m²,2 chambres,1 sdb,Étage 4,"Oulfa, Casablanca",1 300 000
106 m²,2 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Casablanca",1 650 000
77 m²,2 chambres,1 sdb,Étage 2,"Ben Ejdia, Casablanca",800 000
